Food_Name ,Ingredients ,Procedures 
Pancakes,"
1 cup flour
2 tbsp sugar
1 tbsp baking powder
½ tsp salt
1 cup milk
2 tbsp melted butter
1 egg
","Mix dry ingredients. Whisk in milk, butter, and egg until smooth.
Pour batter onto a hot griddle and cook until bubbles form. Flip and cook until golden."
Banana Bread,"
3 ripe bananas, mashed
⅓ cup melted butter
1 tsp baking soda
Pinch of salt
¾ cup sugar
1 beaten egg
1 tsp vanilla extract
1½ cups all-purpose flour","

Preheat oven to 350°F. Mix bananas and butter. Stir in baking soda and salt. Add sugar, egg, and vanilla, then flour.
Pour into a loaf pan and add toppings of your choice (nuts, coconuts , etc)and bake for about 1 hour."
Burger Buns,"
3¼ cups flour
1 cup warm water
1 packet yeast
3 tbsp sugar
1 beaten egg
3 tbsp butter, melted
1 tsp salt","
Mix flour, sugar, yeast, and salt. Add water, egg, and butter. Knead until smooth.
Let rise until doubled. Divide into buns and let rise. Brush with egg wash.
Bake at 375°F for about 15 minutes."
Avocado Toast,"
1 ripe avocado
Lemon juice
Salt and pepper
Eggs
Honey

","Mash avocado with lemon juice, salt, and pepper.
Spread on toasted bread. Add egg cooked as desired(poached, boiled, fried) preferrably runny and Drizzle some honey and more pepper if you like spice "
Yam Pottage ,"Yam, peeled and cut into chunks
Vegetable stock or water, enough to cover the yam
Onions, chopped
Ground tomatoes
Bell pepper, chopped
Scotch bonnet pepper, chopped
Titus fish (Mackerel), cooked and chopped
Ponmo (Cow skin), cooked and chopped
Palm oil
Salt
Bouillon cubes
Ugwu leaves (Pumpkin leaves), chopped","Place the yam in a large pot and add enough vegetable stock or water cover it and let it cook. When it is partly cooked , Add the chopped onions, ground tomatoes, bell pepper, and scotch bonnet. In a seperate pot, cook your titus and ponmo and season to taste.
When the yam is tender Add the palm oil, choppedTitus fish and chopped ponmo.
Mash some of the yam lightly to thicken the porridge. Season with salt and bouillon cubes.
Add the ugwu leaves and simmer for another 5 minutes.When it is done , mash the yam to yoyr preferred texture .Serve hot."
Oat meal ,"Oatmeal 
Milk 
Preferred topping (banabas, beries , strawberry )

","In a small pot, bring water or milk to a boil.
Add the oats and a pinch of salt, then reduce heat to a simmer.
Cook, stirring occasionally, until the oats are soft and have absorbed the liquid, about 5 minutes.
Serve with your choice of toppings."
Edikaikong ,"Assorted meats (such as beef, goat, tripe, and intestines)
2 onions, chopped
Salt, to taste
Palm oil
Scotch bonnet peppers, chopped
Crayfish, ground
Water leaves (or substitute with spinach if unavailable)
Ugwu leaves (pumpkin leaves), chopped
Seasoning cubes or powder","Cook the assorted meats with one chopped onion and salt until tender.
Add palm oil and scotch bonnet peppers to the cooked meat and cook for about 10 minutes.
Add crayfish, the remaining onion, and seasoning. Cook for 5 minutes.
Stir in the water leaves, cook for 3 minutes, then add the ugwu leaves.
Adjust seasoning and simmer for another 5 minutes.
Serve hot with fufu or pounded yam.
"
Gbegiri ,"Beans
Water
Sodium bicarbonate
Palm oil
Seasoning (salt, stock cubes)
","
Cook peeled beans in water with sodium bicarbonate until very soft(disintegrating in water).
Strain, discarding solids, keeping the liquid.
Add palm oil and seasoning to the bean liquid.
Cook until creamy and well blended.
"
Ila Alasepo,"2 cups chopped okra
1/2 kg assorted meats and fish
2 tablespoons palm oil
1 onion, sliced
2 tablespoons ground crayfish
1 teaspoon locust beans (iru)
Salt and pepper to taste
","Cook the meats and fish with onions, salt, and pepper until tender, In a seperate pot cook the okra with Sodium bicarbonate.
Add palm oil, crayfish, and locust beans to the pot.
Add the okra and cook until the soup thickens.
Serve hot with eba or semo.
"
Peppersoup,"1/2 kg goat meat/ meat of choice cut into chunks
2 tablespoons peppersoup spice mix
1 onion, chopped
2 cloves garlic, minced
1 liter water
Salt to taste
Chopped green onions for garnish
","Combine meat, spices, onion, garlic, and water in a pot.
Bring to a boil and simmer until the meat is tender.
Season with salt and garnish with scallions.
Serve hot.
"
Coconut Rice,"
2 cups rice
1 cup coconut milk
1 cup chicken or vegetable stock
1 onion, finely chopped
1 red bell pepper, diced
1 green bell pepper, diced
1/2 cup sweet corn
2 tablespoons coconut oil
Salt and black pepper to taste","
In a pot, heat the coconut oil and sauté the onion until translucent.
Add the rice and stir for a few minutes until well coated with oil.
Pour in the coconut milk and stock, bring to a boil.
Reduce heat, cover, and simmer until rice is tender and liquid is absorbed.
Stir in bell peppers and sweet corn, adjust seasoning with salt and black pepper. Serve hot."
Concotion Rice ,"Cooking oil: Vegetable 
Onions: 2-3, chopped (use in stages)
Grated pepper: Bell peppers or tomatoes
Rodo (Scotch bonnet pepper): Finely chopped
Curry powder
Thyme
Garlic: Minced
Stock: Goat meat, chicken, or fish stock
Meat or fish: Goat meat or fish, cooked and optionally cubed (both are optional)
Rice
Butter","Heat oil in a large pot, then sauté half the chopped onions until translucent.
Add grated pepper and rodo, cooking until softened.
Stir in curry powder, thyme, and minced garlic; cook until fragrant.
Pour in the stock (goat, chicken, or fish) and bring to a boil.
Add the rice, and if using, the pre-cooked meat or fish.
When the rice is nearly soft, add the remaining chopped onions; continue cooking until the rice is fully soft.
Just before serving, stir in a knob of butter for richness.
Serve the rice hot."
Cookies ,"2 ½ cups flour
1 cup sugar
½ cup butter
1 egg
1 tsp vanilla extract
½ tsp baking powder
","Cream together butter and sugar until fluffy.
Beat in the egg and vanilla.
Gradually add the flour and baking powder. Mix into a stiff dough.
Shape the dough into balls and flatten on a baking sheet.
Bake at 180°C for 10-15 minutes or until golden.
"
Egg Roll,"5 hard-boiled eggs
2 cups flour
½ cup sugar
½ cup butter
1 tsp baking powder
Water as needed
Oil for frying
","Make a dough with flour, sugar, butter, baking powder, and enough water to form a smooth, pliable dough.
Divide the dough into 5 portions.
Wrap each portion around a hard-boiled egg, ensuring it is fully covered.
Deep fry in hot oil until golden brown.
"
Meatpie ,"
Ingredients for Filling:
500g minced meat
1 onion, chopped
2 carrots, diced
2 potatoes, diced
1 cup of water or broth
Salt and pepper to taste
Ingredients for Dough:
4 cups flour
1 cup margarine
1 egg (for glazing)
Cold water
","For the filling: Cook the minced meat with onions, carrots, potatoes, water/broth, salt, and pepper until everything is tender.
For the dough: Mix flour and margarine to a breadcrumb texture, add water to form a dough.
Roll out dough, cut into rounds, place some filling in the center, fold, and seal edges.
Brush with beaten egg and bake at 180°C until golden.
"
Sausage Roll ,"Sausage meat
Puff pastry sheets
1 egg (for glazing)
","Roll out the puff pastry.
Place sausage meat along one edge.
Roll up the pastry to enclose the sausage meat.
Cut into pieces, place on a baking sheet, brush with egg, and bake at 200°C until golden.
"
Native Rice ,"
2 cups of rice
½ cup palm oil
Locust beans (iru)
Smoked fish
1 onion, chopped
2 bell peppers, blended
Salt and pepper to taste
","Wash and cook the rice until almost done.
In another pot, heat palm oil, add onions, blended peppers, locust beans, smoked fish, and cook for about 10 minutes.
Mix in the cooked rice, adjust seasoning, and serve.
"
Fried potatoes,"Potatoes, peeled and sliced
Salt
Oil for frying","
Cut up potatoes to preferred shaped and dip in water 
Deep fry in hot oil until crispy and golden. Drain on paper towels.
Season potato slices with salt when hot 
Serve with peppered sauce or sauce of choice "
Fried yam ,"Yam, peeled and sliced
Salt
Oil for frying
","Instructions:

Season yam slices with salt.
Deep fry in hot oil until crispy and golden. Drain on paper towels.
"
Beans porridge ,"2 cups beans
1 onion, chopped
1 bell pepper, blended
Palm oil
Salt and smoked fish
","Cook beans with salt to taste and enough water until tender.
Add onions, blended pepper and palm oil 
Cook until the beans are soft and the flavors meld.
"
Ewa Agoyin,"2 cups black-eyed peas
Water
Ingredients for Sauce:

1 cup palm oil
1 onion, sliced
1 tbsp chili powder
Salt to taste
","Cook the beans until very soft and mushy.
For the sauce, heat palm oil, fry the onions until very dark but not burnt, add chili powder and salt.
Pour the sauce over the beans and serve with bread.
"
Masa ,"
2 cups rice
Yeast
Sugar
Water
1/2 cup Cooked rice ","Grind the rice with some cooked rice into a paste 
Mix the rice paste with yeast, sugar, and enough water to form a batter.
Allow to ferment for a few hours.
Cook in a special masa pan until golden and crispy.
"
Tuwo ,"2 cups rice or maize flour
Water
","Boil water in a pot.
Gradually add the flour while stirring until it forms a thick, smooth dough.(work fast to avoid lumps)
Cover and let cook for a few minutes. Serve with soup or stew.
"
Waakye ,"2 cups rice
1 cup dried beans
Dried millet leaves (for coloring)
Salt","Cook the beans with the millet leaves until tender.
Add rice and salt, and cook until both are done. Serve with shito and stew or with yaji and fried onions. "
Eforiro ,"2 bunches Ugwu leaves ( you can also use Spinach or Soko)
3 medium /2 big size bell peppers (Tatashe)
11/2scotch bonnet (Rodo)
1/2 cup Palm Oil
11/2 medium size red onions
Assorted meats of your choice (Shaki, Kpomo, cow leg, smoked turkey or beef are ideal)
Dried stockfish (Panla)
Smoked cat fish
1 tablespoon Locust beans (Iru)
1/2 cup raw/cooked prawns (Optional)
1/4 cup smoked prawns (Optional)
2 Knorr chicken cubes or any bullion cubes of your choosing.
3 tablespoons ground Crayfish
Salt to taste","First, get your core  ingredients ready. Efo Riro is a fast cooking dish, so you’ll need to be proactive.Now, season the meats, add sliced onions and boil on medium heat. Remember to boil the tougher meats first, then add the softer ones. Just before it’s fully cooked, add the Stockfish, boil till tender and set aside.
Wash your vegetables thoroughly with hot water to rid it of all traces of dirt, be careful not to in soak in hot water for too long so as to retain the nutrients. Slice or chop according to your preference and set aside.
Blend the scotch bonnets and bell peppers and an onion coarsely and set aside…
Into a large pot, add the palm oil, leave to heat up on medium heat for 2 minutes ….Then add onions, fry till fragrant.
Then add the locust beans, fry to release the flavour for another minute….
Now add the blended pepper and two Knorr cubes, let that fry for 15-20 minutes thereabouts or until the pepper dries out and the size reduces by almost half….The consistency should be thick as pictured below….
Add a bit of the meat stock/ chicken stock, if you haven’t got stock, just add water, be careful not to add too much. Just one cup should do.
Let it boil for 2-3 minutes to combine, then add the assorted meats, prawns, crayfish, stockfish and catfish.
Combine and taste, adjust seasoning if required. Leave to cook for a further 10 minutes.
Now add the washed vegetables, combine thoroughly…
Switch off the heat at this time, leave to simmer for a further 5 minutes with the residual heat and it’s ready.Efo Riro Serve with any “swallow” of your choice. Efo Riro is also prefect with white rice, boiled yam and plantain."
Abacha ,"2 cups of dried shredded cassava (Abacha)
1 cup of palm oil
2 tablespoons of ground crayfish
2 teaspoons of ground Ehu seeds (Calabash nutmeg)
Salt to taste
1 onion, sliced
Fresh green or red peppers, chopped
Ugba (fermented oil bean seeds), optional
1 tablespoon of potash water (nkanwu solution)
Garden eggs and garden egg leaves, sliced (optional)
Fish, boiled and flaked or dried fish
Boiled eggs, sliced (for garnishing)
Pomo (cow skin), cooked and diced (optional)","

Soak the Abacha in cold water for about 10 minutes, then drain and set aside.
Dissolve the potash in a little water, strain, and mix with the palm oil in a large bowl until the color lightens.
Add the ground crayfish, ground Ehu, salt, and pepper to the oil mixture, and mix thoroughly.
Add the drained Abacha, sliced onions, chopped peppers, Ugba (if using), garden eggs, and leaves (if using), and mix well.
Adjust seasoning and mix again to ensure everything is well combined.
Garnish with flaked fish, diced pomo, and sliced boiled eggs.
Serve as a cold or room-temperature salad."
Afang Soup,"1kg Assorted meats (Beef, Smoked Turkey, Goat meat, Shaki, Ponmo, Cow leg are ideal)

4 Bunches of Water leaves

3 Cups Okazi/ Afang leaves

2 Cooking Spoons Palm Oil

1-2 Pieces Smoked Fish

3 Pieces Stockfish

2 Cups Periwinkles with or without the Shells on

1-2 cooking spoons fresh ground Scotch Bonnet pepper

1 Cooking Spoon Crayfish Powder

2 Knorr Chicken Cubes, and Salt to taste

1 Maggi Crayfish","Boil the meats on high heat, starting with tougher meats first. Offals may be boiled separately if they are bloody. Add salt and Knorr Chicken Cubes and seasoning, onions are optional, I don’t use any. I gather onions aren’t needed when preparing authentic Afang soup.
When the meats are almost soft, add the Smoked fish and continue to boil till very soft…While the meats are cooking, get the leaves ready.

Slice and wash the Water leaves to remove all traces of dirt. Also wash and soak the Okazi/ Afang leaves in hot water for 2 minutes. This process will help soften the Afang leaves.Then transfer the Afang leaves into a blender, add a small amount of water, then blend to your preferred consistency. You may also Pound or grind the Afang leaves.Soak the smoked Catfish in hot water, clean to remove traces of dirt then shred and set aside…

When the meats are well cooked, you should end up with 1-2 Cups of Stock. To this, add the Crayfish, blended pepper, Smoked Prawns,  Smoked Fish, Maggi Crayfish and Periwinkles if you’re using any. Turn the heat down to medium. Leave to cook for 3-5. minutes….Soak the smoked Catfish in hot water, clean to remove traces of dirt then shred and set aside…

When the meats are well cooked, you should end up with 1-2 Cups of Stock. To this, add the Crayfish, blended pepper, Smoked Prawns,  Smoked Fish, Maggi Crayfish and Periwinkles if you’re using any. Turn the heat down to medium. Leave to cook for 3-5. minutes….Now, add the Palm oil, stir and combine, leave to cook for 3 minutes…Add the blended Okazi/ Afang leaves, stir and combine, leave to cook for 5 minutes or until the leaves are tender enough for you. Taste for seasoning at this time and adjust if necessary…Switch the heat off and let it simmer with the residual heat for another minute or two…. And it is ready 
Enjoy with any swallow of your choice…

"
Banga Soup ,"2 cups palm nut extract
500g assorted meats (beef, tripe, goat)
1 medium onion, chopped
2 tablespoons ground crayfish
2 teaspoons Banga spice (oburunbebe stick, iteji, rohojie)
Salt and pepper to taste
1 dried fish, cleaned
1 tablespoon of bitter leaves or scent leaves, chopped
","Cook the assorted meats with onions and salt until tender.
Add the palm nut extract and enough water to form a medium consistency soup.
Add the Banga spices, ground crayfish, and dried fish.
Cook for about 30 minutes on medium heat.
Stir in the chopped leaves, adjust seasoning, and simmer for another 5 minutes.
Serve hot with starch or fufu."
Gizdodo ,"500g chicken gizzards, cleaned and cut into bite-sized pieces
2 ripe plantains, diced
1 onion, chopped
2 bell peppers, diced
2 tomatoes, chopped
1 scotch bonnet, finely chopped
3 tablespoons vegetable oil
Salt and pepper to taste
","Boil the gizzards with a little salt until tender, then fry until golden.
Fry the diced plantains in another pan until golden and set aside.
In a pan, heat oil, sauté onions, tomatoes, bell peppers, and scotch bonnet until soft.
Add the fried gizzards to the sauce, then incorporate the fried plantains.
Cook together for a few minutes, season to taste, and serve."
Boli ,"Ripe plantains
Ground pepper and salt (optional)
","Preheat an outdoor grill.
Peel the plantains and slice if desired, or leave whole.
Sprinkle with pepper and salt (if using).
Place on the grill and cook, turning occasionally, until the plantains are cooked through and have char marks.
Serve hot.
"
Mosa,"Overripe plantains
1 egg
Flour (as needed for binding)
Sugar (optional, to taste)
Salt to taste
Oil for frying
","
Mash the plantains until smooth. Mix in the egg, a bit of flour, sugar, and salt until you have a thick batter.
Heat oil in a deep fryer.
Spoon dollops of the batter into the hot oil and fry until golden brown.
Drain on paper towels and serve warm."
Spring rolls ,"Ingredients for Wrappers:
1 cup all-purpose flour
1/4 teaspoon salt
1/2 cup water (more if needed)
2 teaspoons oil
Ingredients for Filling:
1 cup shredded cabbage
1/2 cup julienned carrots
1/2 cup thinly sliced bell peppers
1/2 cup cooked chicken or shrimp (optional)
1 tablespoon soy sauce
Salt and pepper to taste
Oil for frying","
Mix flour and salt in a bowl. Gradually add water and oil, mixing to form a smooth, thin batter.
Heat a non-stick pan lightly greased with oil over medium heat.
Pour a small amount of batter into the pan, swirling to spread it into a thin layer.
Cook until the edges start to peel away, then carefully remove the wrapper. Repeat with the remaining batter.
Instructions for Filling and Assembly:
Heat a small amount of oil in a pan. Sauté cabbage, carrots, and bell peppers until just tender. Add chicken or shrimp if using. Season with soy sauce, salt, and pepper.
Place a spoonful of filling on each wrapper. Fold in the sides and roll tightly.
Heat oil in a deep fryer or large pan. Fry the spring rolls until golden brown and crispy.
Drain on paper towels and serve hot.
"
Stir fry penne pasta ,"2 cups penne pasta
1 onion, sliced
1 bell pepper and  Rodo sliced
1 carrot
2 tablespoons olive oil
Seasoning Cubes 
Salt and pepper to taste
Tomato paste","
In a pot of boiling water , add a general amount of salt and your penne pasta and cook till aldente 
Heat olive oil in a large skillet or wok Add rodo and fry till cooked 
Add onions, bell pepper, and carrots, stir-frying until they are crisp-tender.
Add the pre-boiled penne pasta and seasoning cubes. Stir-fry for a few minutes until the pasta is heated through and vegetables are mixed well.
Season with salt and pepper to taste.
Serve hot.
"
Stir fry spagetti ,"2 cups spaghetti
1 onion, sliced
1 bell pepper and rodo  sliced
1 carrot
2 tablespoons olive oil
Seasoning cubes,
Salt and pepper to taste
Tomato paste","In a pot of boiling water , add a general amount of salt and your Spagetti and cook till aldente 
Heat olive oil in a large skillet or wok. Add rodo and fry till cooked 
Then add onions, bell pepper, carrots, and seasning stir-frying until they are crisp-tender.
Add the pre-boiled penne pasta and seasoning cubes. Stir-fry for a few minutes until the pasta is heated through and vegetables are mixed well.
Season with salt and pepper to taste.
Serve hot."
Stir fry potatoes ,"4 potatoes, peeled and sliced
1 onion, sliced
1 bell pepper, sliced
2 tablespoons olive oil
Salt and pepper to taste
Optional: sausages or chicken bits
","Boil the sliced potatoes until just tender, then drain.
In a large pan, heat the oil and fry the onions until translucent.
Add the boiled potatoes and bell pepper, and stir fry until golden and crisp.
Season with salt and pepper, and add sausages or bacon if using.
Serve hot.
"
Wasa Wasa ,"
2 cups yam flour

 1/3 a cup of water

 Salt to taste 

Any good cooking Oil 
","Get a pot of water going on medium heat (you want this to start to boil when ready to steam your yam flour mix) 
Sieve your flour to get rid of any unwanted debris (the flour I used was milled in a public mill used of groundnuts, corn etc. so it’s inevitable that some of these residues may be in it) 
Pour the sieved yam flour into a big bowl and gradually add water in. You want to mix it thoroughly in circular motion aiming for the flour and water mixture to turn into small grains like couscous. Don’t be heavy on the water but if you are, you can adjust with flour. Be patient because this can take up to 10 minutes. To speed up the process, you can shake the bowl so be patient and crack on till you get that texture 
Get the second part of your steamer on the boiling water and pour the mixture in and cover it for 15 minutes, staring gentle after the first 10 minutes
After 15 minutes, take it off the fire and rinse in cold water to allow any unwanted particles that may still be in to come to the surface, and also to take any bitterness that yam can sometimes have. The water also helps to break any clumps that may have formed. You may have to wash it twice 
 Let it drain for a few minutes and then add 3 teaspoons of oil, salt to taste and mix 
 Get the mixture back into the steam pot/colander and back on the boiling pot of water 
To keep the steam in, you can put a clean kitchen cloth/ parchment paper over the pot before covering. After another 10 – 12 minutes, your wasawasa is ready to be taken off the fire and into a serving dish
Serve with shito and all the trimmings you want (spaghetti, cooked black eyed-beans, chopped lettuce/ cabbage, onions etc. and any protein choice! "
Ebiripo,"
Cocoyam
Banana leaves
Salt
Onion, grated (optional)
Instructions:

","Peel and grate the cocoyam.
Mix grated cocoyam with salt (and onion if using).
Wrap portions in banana leaves.
Steam until the cocoyam mixture is firm and cooked.
Serve warm with eforiro "
Ikokore ,"
2 cups grated water yam
1 onion, chopped
2 tablespoons palm oil
Fish, cleaned and deboned
1 bell pepper, blended
Salt and bouillon cubes to taste","In a pot, heat palm oil and fry onions until translucent.
Add the blended bell pepper and cook for a few minutes.
Add water, bring to a boil, then stir in the grated water yam.
Add fish, season with salt and bouillon cubes.
Cook until the mixture thickens into a porridge.
Serve hot.
"
Ekuru,"
2 cups peeled beans
1 onion, chopped
Salt to taste
Banana leaves or moi moi leaves or nylon 
","Blend the beans with onion and a little water to form a smooth paste.
Season with salt.
Wrap portions in leaves and steam for about 1-2 hours until set.
Serve with a spicy pepper sauce."
Mashed poatoes ,"4 large potatoes, peeled and cubed
1/4 cup milk
2 tablespoons butter
Salt and pepper to taste
","Boil the potatoes until tender.
Drain and mash with milk and butter until smooth.
Season with salt and pepper.
Serve warm.
"
